Asset ID,Filename,Upload Date,Direct DAM Link,Google Drive Link (To Be Filled)
c96e97ca-3fe3-4ba9-b42d-fb0306dcfed0,"Kerzner_CoC_DragandDrop.m4v",2026-01-23,https://dam.capy-dev.com/assets/c96e97ca-3fe3-4ba9-b42d-fb0306dcfed0,
a84b752f-7180-41e6-a6ac-7c9bbba52a1c,"Kerzner_CoC_Slider.m4v",2026-01-23,https://dam.capy-dev.com/assets/a84b752f-7180-41e6-a6ac-7c9bbba52a1c,
13b964db-e6dc-41c6-aa8d-b92d8d41b710,"Kerzner_CoC_TapandReveal.m4v",2026-01-23,https://dam.capy-dev.com/assets/13b964db-e6dc-41c6-aa8d-b92d8d41b710,
26e5bc50-209e-4b8f-ae97-4fa33b07c975,"Kerzner_Anti_Harassment_FreeNav_Slider.m4v",2026-01-26,https://dam.capy-dev.com/assets/26e5bc50-209e-4b8f-ae97-4fa33b07c975,
3acc207c-4a54-4489-b3ea-9d3eec894522,"Kerzner_Anti_Harassment_FreeNav_DragandDrop.m4v",2026-01-26,https://dam.capy-dev.com/assets/3acc207c-4a54-4489-b3ea-9d3eec894522,
68e376e2-19d6-4bc8-9e6c-ba6bbd5c874c,"Kerzner_Anti_Harassment_FreeNav_TapandReveal.m4v",2026-01-26,https://dam.capy-dev.com/assets/68e376e2-19d6-4bc8-9e6c-ba6bbd5c874c,
e358296b-aa3b-4b60-9008-b37ea56944d6,"Kerzner_LuxuryConsortia_Slider.m4v",2026-01-26,https://dam.capy-dev.com/assets/e358296b-aa3b-4b60-9008-b37ea56944d6,
247713d7-59d7-4721-bcc5-afe041455e72,"Kerzner_LuxuryConsortia_TapandReveal.m4v",2026-01-26,https://dam.capy-dev.com/assets/247713d7-59d7-4721-bcc5-afe041455e72,
e3ea980a-9416-4db5-8cbc-254400981fa5,"Kerzner_SOP1_Freenav_TapandReveal.m4v",2026-01-26,https://dam.capy-dev.com/assets/e3ea980a-9416-4db5-8cbc-254400981fa5,
bf959f6d-bff6-494a-8664-1f367a77b19c,"Kerzner_SOP4_freenav_TapandReveal.mp4",2026-01-27,https://dam.capy-dev.com/assets/bf959f6d-bff6-494a-8664-1f367a77b19c,
16c32345-7e0b-4180-973a-13e543d4250a,"Video_Generation_Request_Fulfilled.mp4",2026-01-28,https://dam.capy-dev.com/assets/16c32345-7e0b-4180-973a-13e543d4250a,
7cfea1c2-fb75-4811-9aa5-d4fe48feb4a8,"EtisalatAcademy_Scenario04_EN_Dial2.m4v",2026-01-28,https://dam.capy-dev.com/assets/7cfea1c2-fb75-4811-9aa5-d4fe48feb4a8,
70859736-c924-4562-b9f5-255bb70a669e,"30118873_7669963.jpg",2026-01-29,https://dam.capy-dev.com/assets/70859736-c924-4562-b9f5-255bb70a669e,
4ff6bcae-4575-4f5e-ba66-18d8f820c0de,"DPW_SecurityAwareness_Ungated_TapandReveal.mp4",2025-09-02,https://dam.capy-dev.com/assets/4ff6bcae-4575-4f5e-ba66-18d8f820c0de,
58164bc5-4c7c-4fa3-b7eb-3460111e7686,"ADCB_Journey_Hover_ClickandReveal.mp4",2025-09-29,https://dam.capy-dev.com/assets/58164bc5-4c7c-4fa3-b7eb-3460111e7686,
95e82bd2-1e0a-428f-ba79-f3df3c757632,"DPW_Caucedo_General_Induction_TapandReveal_2.mp4",2025-08-26,https://dam.capy-dev.com/assets/95e82bd2-1e0a-428f-ba79-f3df3c757632,
c200b68c-01ee-43a9-a0e7-64b5f3f1eba4,"ADCB_CPR_Module02_Slide10_Tap.mp4",2025-08-24,https://dam.capy-dev.com/assets/c200b68c-01ee-43a9-a0e7-64b5f3f1eba4,
2432838d-6c3e-4815-85f2-7e3deec9b9e8,"capydam test",2026-01-15,https://dam.capy-dev.com/assets/2432838d-6c3e-4815-85f2-7e3deec9b9e8,
